https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1555794000,2019-04-20 21:00:00,REP/USD,21.6,21.81,21.6,21.81,61.15,2.803
1555790400,2019-04-20 20:00:00,REP/USD,21.6,21.6,21.6,21.6,0.0,0.0
1555786800,2019-04-20 19:00:00,REP/USD,21.6,21.6,21.6,21.6,0.0,0.0
1555783200,2019-04-20 18:00:00,REP/USD,21.6,21.6,21.6,21.6,0.0,0.0
1555779600,2019-04-20 17:00:00,REP/USD,21.6,21.6,21.6,21.6,0.0,0.0
1555776000,2019-04-20 16:00:00,REP/USD,21.6,21.6,21.6,21.6,0.0,0.0
1555772400,2019-04-20 15:00:00,REP/USD,21.7,21.7,21.6,21.6,864.06,40.0
1555768800,2019-04-20 14:00:00,REP/USD,21.7,21.7,21.7,21.7,0.0,0.0
1555765200,2019-04-20 13:00:00,REP/USD,21.7,21.7,21.7,21.7,0.0,0.0
1555761600,2019-04-20 12:00:00,REP/USD,22.06,22.06,21.39,21.7,10983.41,508.81
1555758000,2019-04-20 11:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555754400,2019-04-20 10:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555750800,2019-04-20 09:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555747200,2019-04-20 08:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555743600,2019-04-20 07:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555740000,2019-04-20 06:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555736400,2019-04-20 05:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555732800,2019-04-20 04:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555729200,2019-04-20 03:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555725600,2019-04-20 02:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555722000,2019-04-20 01:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555718400,2019-04-20 00:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555714800,2019-04-19 23:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555711200,2019-04-19 22:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555707600,2019-04-19 21:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555704000,2019-04-19 20:00:00,REP/USD,22.06,22.06,22.06,22.06,0.0,0.0
1555700400,2019-04-19 19:00:00,REP/USD,21.66,22.06,21.66,22.06,846.74,38.52
1555696800,2019-04-19 18:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555693200,2019-04-19 17:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555689600,2019-04-19 16:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555686000,2019-04-19 15:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555682400,2019-04-19 14:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555678800,2019-04-19 13:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555675200,2019-04-19 12:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555671600,2019-04-19 11:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555668000,2019-04-19 10:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555664400,2019-04-19 09:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555660800,2019-04-19 08:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555657200,2019-04-19 07:00:00,REP/USD,21.66,21.66,21.66,21.66,0.0,0.0
1555653600,2019-04-19 06:00:00,REP/USD,22.34,22.34,21.66,21.66,1083.12,50.0
1555650000,2019-04-19 05:00:00,REP/USD,22.34,22.34,22.34,22.34,0.0,0.0
1555646400,2019-04-19 04:00:00,REP/USD,22.34,22.34,22.34,22.34,0.0,0.0
1555642800,2019-04-19 03:00:00,REP/USD,22.34,22.34,22.34,22.34,0.0,0.0
1555639200,2019-04-19 02:00:00,REP/USD,22.34,22.34,22.34,22.34,0.0,0.0
1555635600,2019-04-19 01:00:00,REP/USD,22.34,22.34,22.34,22.34,0.0,0.0
1555632000,2019-04-19 00:00:00,REP/USD,22.34,22.34,22.34,22.34,0.0,0.0
1555628400,2019-04-18 23:00:00,REP/USD,22.34,22.34,22.34,22.34,0.0,0.0
1555624800,2019-04-18 22:00:00,REP/USD,22.34,22.34,22.34,22.34,0.0,0.0
1555621200,2019-04-18 21:00:00,REP/USD,22.34,22.34,22.34,22.34,0.0,0.0
1555617600,2019-04-18 20:00:00,REP/USD,22.34,22.34,22.34,22.34,0.0,0.0
1555614000,2019-04-18 19:00:00,REP/USD,23.2,23.2,22.34,22.34,56.44,2.526
